icao24,origin_country,pos_time,longitude,latitude,velocity,retrieved_time,pos_date,pos_country,pos_city
39de4f,France,2026-03-06 10:45:52+00:00,17.9252,59.644,0.0,2026-03-06 10:45:57+00:00,2026-03-06,SE,Rosersberg
80162c,India,2026-03-06 10:45:55+00:00,76.7791,29.0604,236.14,2026-03-06 10:45:57+00:00,2026-03-06,IN,Gohāna
4b1819,Switzerland,2026-03-06 10:45:56+00:00,16.9906,58.1196,217.45,2026-03-06 10:45:57+00:00,2026-03-06,SE,Valdemarsvik
e8027e,Chile,2026-03-06 10:45:41+00:00,-71.0087,-34.3248,195.69,2026-03-06 10:45:57+00:00,2026-03-06,CL,San Vicente
408124,United Kingdom,2026-03-06 10:45:56+00:00,-4.5144,39.3684,223.4,2026-03-06 10:45:57+00:00,2026-03-06,ES,Alcoba
88044f,Thailand,2026-03-06 10:44:21+00:00,113.9292,21.3254,184.58,2026-03-06 10:45:57+00:00,2026-03-06,MO,Luhuan
88044e,Thailand,2026-03-06 10:45:55+00:00,100.8374,13.9811,113.04,2026-03-06 10:45:57+00:00,2026-03-06,TH,Ban Lam Luk Ka
408121,United Kingdom,2026-03-06 10:45:56+00:00,-7.7717,50.1014,251.72,2026-03-06 10:45:57+00:00,2026-03-06,GB,Hugh Town
88044d,Thailand,2026-03-06 10:45:56+00:00,100.8025,13.8483,109.93,2026-03-06 10:45:57+00:00,2026-03-06,TH,Nong Chok
801641,India,2026-03-06 10:45:57+00:00,77.5178,13.2085,92.64,2026-03-06 10:45:57+00:00,2026-03-06,IN,Doddaballapura
488284,Poland,2026-03-06 10:43:44+00:00,21.2828,53.2186,47.55,2026-03-06 10:45:57+00:00,2026-03-06,PL,Baranowo
3ffc0f,Germany,2026-03-06 10:45:55+00:00,11.7804,50.3382,91.06,2026-03-06 10:45:57+00:00,2026-03-06,DE,Berg
ade191,United States,2026-03-06 10:45:56+00:00,-84.4782,30.9462,194.42,2026-03-06 10:45:57+00:00,2026-03-06,US,Bainbridge
801640,India,2026-03-06 10:39:15+00:00,72.8685,20.1749,214.14,2026-03-06 10:45:57+00:00,2026-03-06,IN,Sanjan
880454,Thailand,2026-03-06 10:45:55+00:00,101.5293,2.9062,144.79,2026-03-06 10:45:57+00:00,2026-03-06,MY,Eco Sanctuary
880453,Thailand,2026-03-06 10:45:56+00:00,102.4661,15.9052,194.56,2026-03-06 10:45:57+00:00,2026-03-06,TH,Waeng Yai
80162e,India,2026-03-06 10:45:56+00:00,100.7613,13.7859,78.11,2026-03-06 10:45:57+00:00,2026-03-06,TH,Min Buri
3ffc20,Germany,2026-03-06 10:45:56+00:00,9.7052,53.5667,53.15,2026-03-06 10:45:57+00:00,2026-03-06,DE,Wedel
39de51,France,2026-03-06 10:45:55+00:00,2.5474,48.7425,117.3,2026-03-06 10:45:57+00:00,2026-03-06,FR,Villecresnes
a6fe23,United States,2026-03-06 10:45:56+00:00,0.5792,48.8028,143.5,2026-03-06 10:45:57+00:00,2026-03-06,FR,Rai
39de50,France,2026-03-06 10:45:57+00:00,-8.6489,41.5558,168.46,2026-03-06 10:45:57+00:00,2026-03-06,PT,Vila Frescainha
39de53,France,2026-03-06 10:45:56+00:00,-15.8305,29.3663,234.6,2026-03-06 10:45:57+00:00,2026-03-06,ES,Tegueste
880457,Thailand,2026-03-06 10:44:30+00:00,99.8719,18.2704,243.26,2026-03-06 10:45:57+00:00,2026-03-06,TH,Long
